45.542,Info,Arena,3,Enter_Zone,4
45.641,Info,Arena,6,Exit_Zone,4
45.641,Info,Arena,6,Enter_Zone,3
45.672,Info,Arena,3,Exit_Zone,4
45.672,Info,Arena,3,Enter_Zone,2
45.831,Info,Arena,3,Exit_Zone,2
45.831,Info,Arena,3,Enter_Zone,4
45.949,Info,Arena,3,Exit_Zone,4
45.949,Info,Arena,3,Enter_Zone,1
48.095,Info,Arena,8,Exit_Zone,3
48.095,Info,Arena,8,Enter_Zone,4
48.425,Info,Arena,8,Exit_Zone,4
48.425,Info,Arena,8,Enter_Zone,1
48.697,Info,Arena,3,Exit_Zone,1
48.697,Info,Arena,3,Enter_Zone,4
48.884,Info,Arena,3,Exit_Zone,4
48.884,Info,Arena,3,Enter_Zone,3
49.146,Info,Arena,4,Exit_Zone,3
49.146,Info,Arena,4,Enter_Zone,4
49.403,Info,Arena,4,Exit_Zone,4
49.403,Info,Arena,4,Enter_Zone,1
49.559,Info,Arena,7,Exit_Zone,1
49.559,Info,Arena,7,Enter_Zone,4
49.885,Info,Arena,7,Exit_Zone,4
49.885,Info,Arena,7,Enter_Zone,3
50.099,Info,Arena,6,Exit_Zone,3
50.099,Info,Arena,6,Enter_Zone,4
50.169,Info,Arena,1,Exit_Zone,2
50.169,Info,Arena,1,Enter_Zone,4
50.376,Info,Arena,6,Exit_Zone,4
50.376,Info,Arena,6,Enter_Zone,2
50.491,Info,Arena,5,Exit_Zone,1
50.491,Info,Arena,5,Enter_Zone,4
50.664,Info,Arena,1,Exit_Zone,4
50.664,Info,Arena,1,Enter_Zone,1
50.865,Info,Arena,5,Exit_Zone,4
50.865,Info,Arena,5,Enter_Zone,3
51.134,Info,Arena,7,Exit_Zone,3
51.134,Info,Arena,7,Enter_Zone,4
51.34,Info,Arena,7,Exit_Zone,4
51.34,Info,Arena,7,Enter_Zone,1
51.619,Info,Arena,3,Exit_Zone,3
51.619,Info,Arena,3,Enter_Zone,4
51.891,Info,Arena,3,Exit_Zone,4
51.891,Info,Arena,3,Enter_Zone,2
53.129,Info,Arena,5,Exit_Zone,3
53.129,Info,Arena,5,Enter_Zone,4
53.572,Info,Arena,5,Exit_Zone,4
53.572,Info,Arena,5,Enter_Zone,1
54.06,Info,Arena,4,Exit_Zone,1
54.06,Info,Arena,4,Enter_Zone,4
